Service Item Type ID,StagingRef__c,Name,ServiceCompanyStagingRef__c,ServiceItemFamilyStagingRef__c,DivisionStagingRef__c,DeviceSizeStagingRef__c,BandTypeStagingRef__c,GroupTypeStagingRef__c,Apt_UK__BillDescription__c,Apt_UK__StartDate__c,Apt_UK__EndDate__c,Apt_UK__EligibleforanAgreedRate__c,Apt_UK__AvailableToSelectInWizard__c,ChargeType__c,NumberOfOccupants__c,ServiceItemTypeCategory__c,SurfaceWaterDrainage__c,AssessedCharge__c
SI0185,SI0185,IOS NH Meas Sew Fixed NSW - 150mm - Dual,IOS,SIF066,IS01,150mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0186,SI0186,IOS NH Meas Sew Fixed NSW - 15mm - Single,IOS,SIF067,IS01,15mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0187,SI0187,IOS NH Meas Sew Fixed NSW - 22mm - Single,IOS,SIF067,IS01,22mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0188,SI0188,IOS NH Meas Sew Fixed NSW - 25mm - Single,IOS,SIF067,IS01,25mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0189,SI0189,IOS NH Meas Sew Fixed NSW - 40mm - Single,IOS,SIF067,IS01,40mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0190,SI0190,IOS NH Meas Sew Fixed NSW - 65mm - Single,IOS,SIF067,IS01,65mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0191,SI0191,IOS NH Meas Sew Fixed NSW - 80mm - Single,IOS,SIF067,IS01,80mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0192,SI0192,IOS NH Meas Sew Fixed NSW - 100mm - Single,IOS,SIF067,IS01,100mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0193,SI0193,IOS NH Meas Sew Fixed NSW - 150mm - Single,IOS,SIF067,IS01,150mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0194,SI0194,IOS NH Meas Sew Fixed SWD - 15mm - Dual,IOS,SIF068,IS01,15mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0195,SI0195,IOS NH Meas Sew Fixed SWD - 22mm - Dual,IOS,SIF068,IS01,22mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0196,SI0196,IOS NH Meas Sew Fixed SWD - 25mm - Dual,IOS,SIF068,IS01,25mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0197,SI0197,IOS NH Meas Sew Fixed SWD - 40mm - Dual,IOS,SIF068,IS01,40mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0198,SI0198,IOS NH Meas Sew Fixed SWD - 65mm - Dual,IOS,SIF068,IS01,65mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0199,SI0199,IOS NH Meas Sew Fixed SWD - 80mm - Dual,IOS,SIF068,IS01,80mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0200,SI0200,IOS NH Meas Sew Fixed SWD - 100mm - Dual,IOS,SIF068,IS01,100mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0201,SI0201,IOS NH Meas Sew Fixed SWD - 150mm - Dual,IOS,SIF068,IS01,150mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0202,SI0202,IOS NH Meas Sew Fixed SWD - 15mm - Single,IOS,SIF069,IS01,15mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0203,SI0203,IOS NH Meas Sew Fixed SWD - 22mm - Single,IOS,SIF069,IS01,22mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0204,SI0204,IOS NH Meas Sew Fixed SWD - 25mm - Single,IOS,SIF069,IS01,25mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0205,SI0205,IOS NH Meas Sew Fixed SWD - 40mm - Single,IOS,SIF069,IS01,40mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0206,SI0206,IOS NH Meas Sew Fixed SWD - 65mm - Single,IOS,SIF069,IS01,65mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0207,SI0207,IOS NH Meas Sew Fixed SWD - 80mm - Single,IOS,SIF069,IS01,80mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0208,SI0208,IOS NH Meas Sew Fixed SWD - 100mm - Single,IOS,SIF069,IS01,100mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0209,SI0209,IOS NH Meas Sew Fixed SWD - 150mm - Single,IOS,SIF069,IS01,150mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0210,SI0210,IOS NH Meas Wat Fixed - 15mm - Dual,IOS,SIF074,IS01,15mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0211,SI0211,IOS NH Meas Wat Fixed - 22mm - Dual,IOS,SIF074,IS01,22mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0212,SI0212,IOS NH Meas Wat Fixed - 25mm - Dual,IOS,SIF074,IS01,25mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0213,SI0213,IOS NH Meas Wat Fixed - 40mm - Dual,IOS,SIF074,IS01,40mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0214,SI0214,IOS NH Meas Wat Fixed - 65mm - Dual,IOS,SIF074,IS01,65mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0215,SI0215,IOS NH Meas Wat Fixed - 80mm - Dual,IOS,SIF074,IS01,80mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0216,SI0216,IOS NH Meas Wat Fixed - 100mm - Dual,IOS,SIF074,IS01,100mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0217,SI0217,IOS NH Meas Wat Fixed - 150mm - Dual,IOS,SIF074,IS01,150mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0218,SI0218,IOS NH Meas Wat Fixed - 15mm - Single,IOS,SIF075,IS01,15mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0219,SI0219,IOS NH Meas Wat Fixed - 22mm - Single,IOS,SIF075,IS01,22mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0220,SI0220,IOS NH Meas Wat Fixed - 25mm - Single,IOS,SIF075,IS01,25mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0221,SI0221,IOS NH Meas Wat Fixed - 40mm - Single,IOS,SIF075,IS01,40mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0222,SI0222,IOS NH Meas Wat Fixed - 65mm - Single,IOS,SIF075,IS01,65mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0223,SI0223,IOS NH Meas Wat Fixed - 80mm - Single,IOS,SIF075,IS01,80mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0224,SI0224,IOS NH Meas Wat Fixed - 100mm - Single,IOS,SIF075,IS01,100mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0225,SI0225,IOS NH Meas Wat Fixed - 150mm - Single,IOS,SIF075,IS01,150mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0226,SI0226,IOS NH Meas Sew Volume NSW - Vol Charge,IOS,SIF072,IS01,,,,Sewerage 2,2020/04/01,,No,1,,,,,
SI0227,SI0227,IOS NH Meas Sew Volume SWD - Vol Charge,IOS,SIF073,IS01,,,,Sewerage 1,2020/04/01,,No,1,,,,,
SI0228,SI0228,IOS NH Meas Wat Volume - Building Water,IOS,SIF076,IS01,,,,Building Water,2020/04/01,,No,1,,,,,
SI0229,SI0229,IOS NH Meas Wat Volume - Vol Charge,IOS,SIF076,IS01,,,,Water,2020/04/01,,No,1,,,,,
SI0230,SI0230,IOS NH Unm Sew Fixed NSW - Over 50RV - Dual,IOS,SIF077,IS01,,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0231,SI0231,IOS NH Unm Sew Fixed NSW - Up to 50RV - Dual,IOS,SIF077,IS01,,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0232,SI0232,IOS NH Unm Sew Fixed NSW - Over 50RV - Single,IOS,SIF078,IS01,,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0233,SI0233,IOS NH Unm Sew Fixed NSW - Up to 50RV - Single,IOS,SIF078,IS01,,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0234,SI0234,IOS NH Unm Sew Fixed SWD - Over 50RV - Dual,IOS,SIF079,IS01,,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0235,SI0235,IOS NH Unm Sew Fixed SWD - Up to 50RV - Dual,IOS,SIF079,IS01,,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0236,SI0236,IOS NH Unm Sew Fixed SWD - Over 50RV - Single,IOS,SIF080,IS01,,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0237,SI0237,IOS NH Unm Sew Fixed SWD - Surface Water Only - Single,IOS,SIF080,IS01,,,,Surface Water Only,2020/04/01,,No,1,,,,,
SI0238,SI0238,IOS NH Unm Sew Fixed SWD - Up to 50RV - Single,IOS,SIF080,IS01,,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0239,SI0239,IOS NH Unm Wat Fixed - Fixed Charge - Dual,IOS,SIF083,IS01,,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0240,SI0240,IOS NH Unm Wat Fixed - Fixed Charge - Single,IOS,SIF084,IS01,,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0241,SI0241,IOS NH Unm Sew Variable NSW - RV Charge,IOS,SIF081,IS01,,,,Sewerage 2,2020/04/01,,No,1,,,,,
SI0242,SI0242,IOS NH Unm Sew Variable SWD - RV Charge,IOS,SIF082,IS01,,,,Sewerage 1,2020/04/01,,No,1,,,,,
SI0243,SI0243,IOS NH Unm Wat Variable - RV Charge,IOS,SIF085,IS01,,,,Water,2020/04/01,,No,1,,,,,
SI0244,SI0244,WBT HH Meas Wat Fixed - 15mm,WBT,SIF086,WB01,15mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0245,SI0245,WBT HH Meas Wat Fixed - 20mm,WBT,SIF086,WB01,20mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0246,SI0246,WBT HH Meas Wat Fixed - 22mm,WBT,SIF086,WB01,22mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0247,SI0247,WBT HH Meas Wat Fixed - 25mm,WBT,SIF086,WB01,25mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0248,SI0248,WBT HH Meas Wat Fixed - 35mm,WBT,SIF086,WB01,35mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0249,SI0249,WBT HH Meas Wat Fixed - 50mm,WBT,SIF086,WB01,50mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0250,SI0250,WBT HH Meas Wat Fixed - 75mm,WBT,SIF086,WB01,75mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0251,SI0251,WBT HH Meas Wat Fixed - 80mm,WBT,SIF086,WB01,80mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0252,SI0252,WBT HH Meas Wat Volume - Vol Charge,WBT,SIF087,WB01,,,,Water,2022/04/01,,No,1,,,,,
SI0253,SI0253,WBT HH Unm Wat Assessed Fixed - 1 Occ,WBT,SIF088,WB01,,,,Assessed Water,2022/04/01,,No,1,,,,,
SI0254,SI0254,WBT HH Unm Wat Assessed Volume - 1 Occ,WBT,SIF089,WB01,,,,Assessed Water,2022/04/01,,No,1,,,,,
SI0255,SI0255,WBT HH Unm Wat Fixed - Fixed Charge,WBT,SIF090,WB01,,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0256,SI0256,WBT HH Unm Wat Variable - RV Charge,WBT,SIF091,WB01,,,,Water,2022/04/01,,No,1,,,,,
SI0257,SI0257,WBT NH Meas Wat Fixed - 15mm,WBT,SIF092,WB01,15mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0258,SI0258,WBT NH Meas Wat Fixed - 20mm,WBT,SIF092,WB01,20mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0259,SI0259,WBT NH Meas Wat Fixed - 22mm,WBT,SIF092,WB01,22mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0260,SI0260,WBT NH Meas Wat Fixed - 25mm,WBT,SIF092,WB01,25mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0261,SI0261,WBT NH Meas Wat Fixed - 35mm,WBT,SIF092,WB01,35mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0262,SI0262,WBT NH Meas Wat Fixed - 50mm,WBT,SIF092,WB01,50mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0263,SI0263,WBT NH Meas Wat Fixed - 75mm,WBT,SIF092,WB01,75mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0264,SI0264,WBT NH Meas Wat Fixed - 80mm,WBT,SIF092,WB01,80mm,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0265,SI0265,WBT NH Meas Wat Volume - Vol Charge,WBT,SIF093,WB01,,,,Water,2022/04/01,,No,1,,,,,
SI0266,SI0266,WBT NH Unm Wat Fixed - Fixed Charge,WBT,SIF094,WB01,,,,Water Standing Charge,2022/04/01,,No,1,,,,,
SI0267,SI0267,WBT NH Unm Wat Variable - RV Charge,WBT,SIF095,WB01,,,,Water,2022/04/01,,No,1,,,,,
SI0268,SI0268,IOS HH Meas Sew Fixed NSW - 15mm - Dual,IOS,SIF096,IS01,15mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0269,SI0269,IOS HH Meas Sew Fixed NSW - 22mm - Dual,IOS,SIF096,IS01,22mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0270,SI0270,IOS HH Meas Sew Fixed NSW - 25mm - Dual,IOS,SIF096,IS01,25mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0271,SI0271,IOS HH Meas Sew Fixed NSW - 40mm - Dual,IOS,SIF096,IS01,40mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0272,SI0272,IOS HH Meas Sew Fixed NSW - 65mm - Dual,IOS,SIF096,IS01,65mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0273,SI0273,IOS HH Meas Sew Fixed NSW - 80mm - Dual,IOS,SIF096,IS01,80mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0274,SI0274,IOS HH Meas Sew Fixed NSW - 100mm - Dual,IOS,SIF096,IS01,100mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0275,SI0275,IOS HH Meas Sew Fixed NSW - 150mm - Dual,IOS,SIF096,IS01,150mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0276,SI0276,IOS HH Meas Sew Fixed NSW - 15mm - Single,IOS,SIF097,IS01,15mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0277,SI0277,IOS HH Meas Sew Fixed NSW - 22mm - Single,IOS,SIF097,IS01,22mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0278,SI0278,IOS HH Meas Sew Fixed NSW - 25mm - Single,IOS,SIF097,IS01,25mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0279,SI0279,IOS HH Meas Sew Fixed NSW - 40mm - Single,IOS,SIF097,IS01,40mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0280,SI0280,IOS HH Meas Sew Fixed NSW - 65mm - Single,IOS,SIF097,IS01,65mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0281,SI0281,IOS HH Meas Sew Fixed NSW - 80mm - Single,IOS,SIF097,IS01,80mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0282,SI0282,IOS HH Meas Sew Fixed NSW - 100mm - Single,IOS,SIF097,IS01,100mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0283,SI0283,IOS HH Meas Sew Fixed NSW - 150mm - Single,IOS,SIF097,IS01,150mm,,,Sewerage 2 Standing Charge,2020/04/01,,No,1,,,,,
SI0284,SI0284,IOS HH Meas Sew Fixed SWD - 15mm - Dual,IOS,SIF098,IS01,15mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0285,SI0285,IOS HH Meas Sew Fixed SWD - 22mm - Dual,IOS,SIF098,IS01,22mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0286,SI0286,IOS HH Meas Sew Fixed SWD - 25mm - Dual,IOS,SIF098,IS01,25mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0287,SI0287,IOS HH Meas Sew Fixed SWD - 40mm - Dual,IOS,SIF098,IS01,40mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0288,SI0288,IOS HH Meas Sew Fixed SWD - 65mm - Dual,IOS,SIF098,IS01,65mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0289,SI0289,IOS HH Meas Sew Fixed SWD - 80mm - Dual,IOS,SIF098,IS01,80mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0290,SI0290,IOS HH Meas Sew Fixed SWD - 100mm - Dual,IOS,SIF098,IS01,100mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0291,SI0291,IOS HH Meas Sew Fixed SWD - 150mm - Dual,IOS,SIF098,IS01,150mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0292,SI0292,IOS HH Meas Sew Fixed SWD - 15mm - Single,IOS,SIF099,IS01,15mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0293,SI0293,IOS HH Meas Sew Fixed SWD - 22mm - Single,IOS,SIF099,IS01,22mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0294,SI0294,IOS HH Meas Sew Fixed SWD - 25mm - Single,IOS,SIF099,IS01,25mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0295,SI0295,IOS HH Meas Sew Fixed SWD - 40mm - Single,IOS,SIF099,IS01,40mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0296,SI0296,IOS HH Meas Sew Fixed SWD - 65mm - Single,IOS,SIF099,IS01,65mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0297,SI0297,IOS HH Meas Sew Fixed SWD - 80mm - Single,IOS,SIF099,IS01,80mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0298,SI0298,IOS HH Meas Sew Fixed SWD - 100mm - Single,IOS,SIF099,IS01,100mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0299,SI0299,IOS HH Meas Sew Fixed SWD - 150mm - Single,IOS,SIF099,IS01,150mm,,,Sewerage 1 Standing Charge,2020/04/01,,No,1,,,,,
SI0300,SI0300,IOS HH Meas Wat Fixed - 15mm - Dual,IOS,SIF102,IS01,15mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0301,SI0301,IOS HH Meas Wat Fixed - 22mm - Dual,IOS,SIF102,IS01,22mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0302,SI0302,IOS HH Meas Wat Fixed - 25mm - Dual,IOS,SIF102,IS01,25mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0303,SI0303,IOS HH Meas Wat Fixed - 40mm - Dual,IOS,SIF102,IS01,40mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0304,SI0304,IOS HH Meas Wat Fixed - 65mm - Dual,IOS,SIF102,IS01,65mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0305,SI0305,IOS HH Meas Wat Fixed - 80mm - Dual,IOS,SIF102,IS01,80mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0306,SI0306,IOS HH Meas Wat Fixed - 100mm - Dual,IOS,SIF102,IS01,100mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0307,SI0307,IOS HH Meas Wat Fixed - 150mm - Dual,IOS,SIF102,IS01,150mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0308,SI0308,IOS HH Meas Wat Fixed - 15mm - Single,IOS,SIF103,IS01,15mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0309,SI0309,IOS HH Meas Wat Fixed - 22mm - Single,IOS,SIF103,IS01,22mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0310,SI0310,IOS HH Meas Wat Fixed - 25mm - Single,IOS,SIF103,IS01,25mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0311,SI0311,IOS HH Meas Wat Fixed - 40mm - Single,IOS,SIF103,IS01,40mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0312,SI0312,IOS HH Meas Wat Fixed - 65mm - Single,IOS,SIF103,IS01,65mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0313,SI0313,IOS HH Meas Wat Fixed - 80mm - Single,IOS,SIF103,IS01,80mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0314,SI0314,IOS HH Meas Wat Fixed - 100mm - Single,IOS,SIF103,IS01,100mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0315,SI0315,IOS HH Meas Wat Fixed - 150mm - Single,IOS,SIF103,IS01,150mm,,,Water Standing Charge,2020/04/01,,No,1,,,,,
SI0316,SI0316,IOS HH Meas Wat Fixed - Garden Meter - Single,IOS,SIF103,IS01,,,,Standing Charge,2020/04/01,,No,1,,,,,
SI0317,SI0317,IOS HH Meas Sew Volume NSW - Vol Charge,IOS,SIF100,IS01,,,,Sewerage 2,2020/04/01,,No,1,,,,,
SI0318,SI0318,IOS HH Meas Sew Volume SWD - Vol Charge,IOS,SIF101,IS01,,,,Sewerage 1,2020/04/01,,No,1,,,,,
SI0319,SI0319,IOS HH Meas Wat Volume - Pre Occupation,IOS,SIF104,IS01,,,,PreOccupation,2020/04/01,,No,1,,,,,
SI0320,SI0320,IOS HH Meas Wat Volume - Seasonal Diff 3,IOS,SIF104,IS01,,,,Water,2024/04/01,,No,1,,,,,
SI0321,SI0321,IOS HH Meas Wat Volume - Seasonal Peak,IOS,SIF104,IS01,,,,Water,2024/04/01,,No,1,,,,,
SI0322,SI0322,IOS HH Meas Wat Volume - Smart Saver RBT,IOS,SIF104,IS01,,,,Smart Saver,2024/04/01,,No,1,,,,,
SI0323,SI0323,IOS HH Meas Wat Volume - Vol Charge,IOS,SIF104,IS01,,,,Water,2020/04/01,,No,1,,,,,
SI0324,SI0324,IOS HH Unm Sew Assessed Fixed NSW - 1 Occ - Dual,IOS,SIF105,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0325,SI0325,IOS HH Unm Sew Assessed Fixed NSW - 2 Occ - Dual,IOS,SIF105,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0326,SI0326,IOS HH Unm Sew Assessed Fixed NSW - Multi Occ - Dual,IOS,SIF105,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0327,SI0327,IOS HH Unm Sew Assessed Fixed NSW - 1 Occ - Single,IOS,SIF106,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0328,SI0328,IOS HH Unm Sew Assessed Fixed NSW - 2 Occ - Single,IOS,SIF106,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0329,SI0329,IOS HH Unm Sew Assessed Fixed NSW - Multi Occ - Single,IOS,SIF106,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0330,SI0330,IOS HH Unm Sew Assessed Fixed SWD - 1 Occ - Dual,IOS,SIF107,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0331,SI0331,IOS HH Unm Sew Assessed Fixed SWD - 2 Occ - Dual,IOS,SIF107,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0332,SI0332,IOS HH Unm Sew Assessed Fixed SWD - Multi Occ - Dual,IOS,SIF107,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0333,SI0333,IOS HH Unm Sew Assessed Fixed SWD - 1 Occ - Single,IOS,SIF108,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0334,SI0334,IOS HH Unm Sew Assessed Fixed SWD - 2 Occ - Single,IOS,SIF108,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0335,SI0335,IOS HH Unm Sew Assessed Fixed SWD - Multi Occ - Single,IOS,SIF108,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0336,SI0336,IOS HH Unm Wat Assessed Fixed - 1 Occ - Dual,IOS,SIF119,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0337,SI0337,IOS HH Unm Wat Assessed Fixed - 2 Occ - Dual,IOS,SIF119,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0338,SI0338,IOS HH Unm Wat Assessed Fixed - Multi Occ - Dual,IOS,SIF119,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0339,SI0339,IOS HH Unm Wat Assessed Fixed - 1 Occ - Single,IOS,SIF120,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0340,SI0340,IOS HH Unm Wat Assessed Fixed - 2 Occ - Single,IOS,SIF120,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0341,SI0341,IOS HH Unm Wat Assessed Fixed - Multi Occ - Single,IOS,SIF120,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0342,SI0342,IOS HH Unm Sew Assessed Volume NSW - 1 Occ,IOS,SIF109,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0343,SI0343,IOS HH Unm Sew Assessed Volume NSW - 2 Occ,IOS,SIF109,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0344,SI0344,IOS HH Unm Sew Assessed Volume NSW - Multi Occ,IOS,SIF109,IS01,,,,Assessed Sewerage 2,2020/04/01,,No,1,,,,,
SI0345,SI0345,IOS HH Unm Sew Assessed Volume SWD - 1 Occ,IOS,SIF110,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0346,SI0346,IOS HH Unm Sew Assessed Volume SWD - 2 Occ,IOS,SIF110,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0347,SI0347,IOS HH Unm Sew Assessed Volume SWD - Multi Occ,IOS,SIF110,IS01,,,,Assessed Sewerage 1,2020/04/01,,No,1,,,,,
SI0348,SI0348,IOS HH Unm Wat Assessed Volume - 1 Occ,IOS,SIF121,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0349,SI0349,IOS HH Unm Wat Assessed Volume - 2 Occ,IOS,SIF121,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
SI0350,SI0350,IOS HH Unm Wat Assessed Volume - Multi Occ,IOS,SIF121,IS01,,,,Assessed Water,2020/04/01,,No,1,,,,,
